日期,代码,名称,价格
2026-05-20,000687,华讯退,NaN
2026-05-20,000688,国城矿业,43.23
2026-05-20,000689,ST宏业,NaN
2026-05-20,000691,*ST亚太,8.32
2026-05-20,000693,华泽退,NaN
2026-05-20,000695,滨海能源,16.19
2026-05-20,000697,炼石航空,11.88
2026-05-20,000699,S*ST佳纸,NaN
2026-05-20,000700,模塑科技,14.05
2026-05-20,000703,恒逸石化,14.67
2026-05-20,000708,中信特钢,14.62
2026-05-20,000712,锦龙股份,10.98
2026-05-20,000716,黑芝麻,5.47
2026-05-20,000719,中原传媒,14.26
2026-05-20,000727,冠捷科技,2.88
2026-05-20,000729,燕京啤酒,12.70
2026-05-20,000730,*ST环保,NaN
2026-05-20,000732,ST泰禾,NaN
2026-05-20,000733,振华科技,46.89
2026-05-20,000736,*ST中地,5.38
2026-05-20,000737,北方铜业,13.94
2026-05-20,000738,航发控制,21.66
2026-05-20,000739,普洛药业,16.82
2026-05-20,000748,长城信息,NaN
2026-05-20,000752,*ST西发,9.29
2026-05-20,000758,中色股份,6.96
2026-05-20,000760,斯太退,NaN
2026-05-20,000762,西藏矿业,32.48
2026-05-20,000763,锦州石化,NaN
2026-05-20,000765,*ST华信,NaN
2026-05-20,000769,*ST大菲,NaN
2026-05-20,000776,广发证券,19.43
2026-05-20,000780,ST平能,NaN
2026-05-20,000783,长江证券,8.41
2026-05-20,000786,北新建材,24.89
2026-05-20,000787,*ST创智,NaN
2026-05-20,000790,华神科技,4.42
2026-05-20,000792,盐湖股份,32.86
2026-05-20,000793,*ST华闻,2.68
2026-05-20,000795,英洛华,9.06
2026-05-20,000799,酒鬼酒,41.68
2026-05-20,000802,北京文化,5.16
2026-05-20,000805,*ST炎黄,NaN
2026-05-20,000806,银河退,NaN
2026-05-20,000807,云铝股份,30.46
2026-05-20,000809,和展能源,4.37
2026-05-20,000810,创维数字,12.84
2026-05-20,000817,辽河油田,NaN
2026-05-20,000819,岳阳兴长,16.06
2026-05-20,000820,*ST节能,3.72
2026-05-20,000821,ST京机,10.07
2026-05-20,000823,超声电子,15.84
2026-05-20,000826,*ST启环,2.24
2026-05-20,000827,*ST长兴,NaN
2026-05-20,000828,东莞控股,10.01
2026-05-20,000831,中国稀土,52.39
2026-05-20,000832,*ST龙涤,NaN
2026-05-20,000835,长动退,NaN
2026-05-20,000836,ST富通,NaN
2026-05-20,000838,*ST发展,1.89
2026-05-20,000848,承德露露,8.85
2026-05-20,000851,*ST高鸿,NaN
2026-05-20,000858,五 粮 液,85.47
2026-05-20,000859,国风新材,10.53
2026-05-20,000861,海印股份,NaN
2026-05-20,000866,扬子石化,NaN
2026-05-20,000869,张  裕Ａ,19.22
2026-05-20,000878,云南铜业,17.87
2026-05-20,000880,潍柴重机,35.42
2026-05-20,000887,中鼎股份,18.51
2026-05-20,000890,法尔胜,12.85
2026-05-20,000893,亚钾国际,49.51
2026-05-20,000895,双汇发展,26.28
2026-05-20,000902,新洋丰,14.30
2026-05-20,000908,ST景峰,7.43
2026-05-20,000909,*ST数源,5.25
2026-05-20,000910,大亚圣象,7.13
2026-05-20,000912,泸天化,4.09
2026-05-20,000913,钱江摩托,12.28
2026-05-20,000915,华特达因,27.98
2026-05-20,000916,华北高速,NaN
2026-05-20,000918,*ST嘉凯,NaN
2026-05-20,000920,沃顿科技,11.02
2026-05-20,000921,海信家电,24.55
2026-05-20,000923,河钢资源,15.89
2026-05-20,000926,福星股份,2.28
2026-05-20,000928,中钢国际,6.56
2026-05-20,000933,神火股份,30.10
2026-05-20,000935,四川双马,32.65
2026-05-20,000937,冀中能源,5.43
2026-05-20,000938,紫光股份,32.21
2026-05-20,000939,凯迪退,NaN
2026-05-20,000949,新乡化纤,7.59
2026-05-20,000950,重药控股,6.54
2026-05-20,000956,中原油气,NaN
2026-05-20,000957,中通客车,11.33
2026-05-20,000958,电投产融,6.24
2026-05-20,000960,锡业股份,36.46
2026-05-20,000961,ST中南,NaN
2026-05-20,000962,东方钽业,55.04
2026-05-20,000968,蓝焰控股,8.33
2026-05-20,000969,安泰科技,21.29
2026-05-20,000970,中科三环,11.90
2026-05-20,000971,*ST高升,NaN
2026-05-20,000972,*ST中基,3.79
2026-05-20,000973,佛塑科技,17.14
2026-05-20,000976,*ST华铁,NaN
2026-05-20,000978,桂林旅游,6.47
2026-05-20,000979,中弘退,NaN
2026-05-20,000982,中银绒业,NaN
2026-05-20,000988,华工科技,163.42
2026-05-20,000990,诚志股份,10.72
2026-05-20,000995,皇台酒业,14.32
2026-05-20,000996,中期退,NaN
2026-05-20,000999,华润三九,24.69
2026-05-20,001203,大中矿业,41.96
2026-05-20,001205,盛航股份,15.10
2026-05-20,001207,联科科技,20.93
2026-05-20,001209,洪兴股份,21.54
2026-05-20,001210,金房能源,31.05
2026-05-20,001212,中旗新材,58.62
2026-05-20,001213,中铁特货,3.91
2026-05-20,001215,千味央厨,45.60
2026-05-20,001216,华瓷股份,17.01
2026-05-20,001218,丽臣实业,26.68
2026-05-20,001219,青岛食品,14.11
2026-05-20,001221,悍高集团,56.84
2026-05-20,001223,欧克科技,65.79
2026-05-20,001227,兰州银行,2.14
2026-05-20,001230,劲旅环境,25.76
2026-05-20,001231,农心科技,24.46
2026-05-20,001233,海安集团,57.67
2026-05-20,001237,惠康科技,NaN
2026-05-20,001238,浙江正特,44.58
2026-05-20,001259,利仁科技,80.53
2026-05-20,001260,坤泰股份,21.80
2026-05-20,001266,宏英智能,51.41
2026-05-20,001268,联合精密,42.18
2026-05-20,001269,欧晶科技,24.49
2026-05-20,001280,中国铀业,76.17
2026-05-20,001283,豪鹏科技,77.29
2026-05-20,001287,中电港,28.87
2026-05-20,001288,运机集团,27.88
2026-05-20,001296,长江材料,21.88
2026-05-20,001298,好上好,23.58
2026-05-20,001299,美能能源,12.20
2026-05-20,001301,尚太科技,87.38
2026-05-20,001308,康冠科技,21.08
2026-05-20,001309,德明利,695.96
2026-05-20,001311,多利科技,29.08
2026-05-20,001313,粤海饲料,9.79
2026-05-20,001316,润贝航科,43.02
2026-05-20,001317,三羊马,57.68
2026-05-20,001318,阳光乳业,12.57
2026-05-20,001324,长青科技,20.69
2026-05-20,001326,联域股份,65.81
2026-05-20,001328,登康口腔,30.28
2026-05-20,001330,博纳影业,9.71
2026-05-20,001332,锡装股份,66.08
2026-05-20,001333,光华股份,26.66
2026-05-20,001335,信凯科技,50.72
2026-05-20,001336,楚环科技,30.40
2026-05-20,001337,四川黄金,57.36
2026-05-20,001338,永顺泰,11.96
2026-05-20,001339,智微智能,115.53
2026-05-20,001359,平安电工,100.54
2026-05-20,001360,南矿集团,21.03
2026-05-20,001365,C天海,68.55
2026-05-20,001366,播恩集团,15.41
2026-05-20,001367,海森药业,23.23
2026-05-20,001369,双欣材料,15.09
2026-05-20,001376,百通能源,13.93
2026-05-20,001378,德冠新材,28.35
2026-05-20,001380,华纬科技,19.84
2026-05-20,001389,广合科技,179.33
2026-05-20,001390,古麒绒材,19.40
2026-05-20,001393,C维通利,108.02
2026-05-20,001395,亚联机械,37.86
2026-05-20,001400,江顺科技,172.50
2026-05-20,001872,招商港口,22.51
2026-05-20,001914,招商积余,9.99
2026-05-20,001979,招商蛇口,8.94
2026-05-20,002002,ST鸿达,NaN
2026-05-20,002003,伟星股份,9.54
2026-05-20,002005,ST德豪,2.86
2026-05-20,002008,大族激光,144.54
2026-05-20,002010,传化智联,5.37
2026-05-20,002011,盾安环境,12.78
2026-05-20,002012,凯恩股份,7.36
2026-05-20,002013,中航机电,NaN
2026-05-20,002018,华信退,NaN
2026-05-20,002019,亿帆医药,10.51
2026-05-20,002020,京新药业,14.27
2026-05-20,002022,科华生物,5.89
2026-05-20,002023,海特高新,13.23
2026-05-20,002025,航天电器,73.61
2026-05-20,002026,山东威达,12.80
2026-05-20,002028,思源电气,205.30
